,company,qtr_end_date,qtr_end_closing_price,Shares Outstanding,quarter,year,Net sales,Total expenses,PAT,ann_date,early_ann,stck_ann,next_day
405,Bajaj Finance Ltd.,2017-06-30 00:00:00,1374.2,549890090,1,2017,28265.5,23709.7,4564,2017-07-19 00:00:00,1,,
406,Bajaj Finserv Ltd.,2017-06-30 00:00:00,411.6,159131780,1,2017,274,264.3,39.7,2017-07-19 00:00:00,0,,
407,Canara Bank,2017-06-30 00:00:00,329,597290159,1,2017,101955.9,120525,2516,2017-07-19 00:00:00,0,,
408,Kotak Mahindra Bank Ltd.,2017-06-30 00:00:00,955.45,1903500911,1,2017,46557.8,46499.3,9127.3,2017-07-26 17:45:46,0,,
409,H D F C Bank Ltd.,2017-06-30 00:00:00,826.13,2573883317,1,2017,186687.2,182915.4,38938.4,2017-08-02 14:54:22,0,,
410,Housing Development Finance Corpn. Ltd.,2017-06-30 00:00:00,1616.35,1592899780,1,2017,82791,68655.1,14244.7,2017-08-02 14:54:22,0,,
411,I C I C I Bank Ltd.,2017-06-30 00:00:00,290.1,6412829984,1,2017,134591.3,147980.4,20490,2017-08-03 16:17:59,0,,
412,L I C Housing Finance Ltd.,2017-06-30 00:00:00,743.55,504663000,1,2017,36268.5,31685.9,4796.5,2017-08-21 10:52:23,0,,
413,Max Financial Services Ltd.,2017-06-30 00:00:00,627.55,267311259,1,2017,940,269.1,671.9,2017-08-21 13:57:37,0,,
414,Bank Of Baroda,2017-06-30 00:00:00,161.1,2304159598,1,2017,105527.1,119004.7,2033.9,2017-08-31 00:00:00,0,,
415,State Bank Of India,2017-06-30 00:00:00,273.6,8632050393,1,2017,549054.2,609055.5,20055.3,2017-08-31 18:16:58,0,,
416,Bajaj Finserv Ltd.,2017-09-29 00:00:00,514.66,159131780,2,2017,1507.6,380.3,1160.4,2017-10-16 00:00:00,1,,
417,Bajaj Finance Ltd.,2017-09-29 00:00:00,1834.95,576517308,2,2017,30420.6,24639.9,5935.7,2017-10-16 00:00:00,0,,
418,H D F C Bank Ltd.,2017-09-29 00:00:00,901.52,2583996617,2,2017,196702.8,191251.5,41510.3,2017-10-31 13:51:42,0,,
419,Housing Development Finance Corpn. Ltd.,2017-09-29 00:00:00,1740.7,1595100945,2,2017,90032.1,70908.1,19781.9,2017-10-31 13:51:42,0,,
420,Kotak Mahindra Bank Ltd.,2017-09-29 00:00:00,1001.9,1904004302,2,2017,47601.4,47197.1,9943.1,2017-10-31 13:55:23,0,,
421,L I C Housing Finance Ltd.,2017-09-29 00:00:00,627.85,504663000,2,2017,37510.3,32453.6,5138.8,2017-11-01 12:21:49,0,,
422,I C I C I Bank Ltd.,2017-09-29 00:00:00,276.95,6416844177,2,2017,135770.5,167051,20581.9,2017-11-01 20:31:01,0,,
423,Bank Of Baroda,2017-09-29 00:00:00,137.5,2304159598,2,2017,107533.3,121350.3,3553.6,2017-11-21 00:00:00,0,,
424,Canara Bank,2017-09-29 00:00:00,308.05,597290159,2,2017,100584.5,117344.6,2601.8,2017-11-22 00:00:00,0,,
425,Max Financial Services Ltd.,2017-09-29 00:00:00,590.2,268384027,2,2017,263.4,348.7,-81.7,2017-11-22 19:42:40,0,,
426,State Bank Of India,2017-09-29 00:00:00,253.75,8632050393,2,2017,548497.2,700040.9,15815.5,2017-11-22 21:42:41,0,,
427,H D F C Bank Ltd.,2017-12-29 00:00:00,936.77,2590123617,3,2017,205812.7,198078.4,46426,2018-01-22 19:02:31,1,,
428,Housing Development Finance Corpn. Ltd.,2017-12-29 00:00:00,1710.4,1597597695,3,2017,88128.4,87877.8,53000,2018-01-22 19:02:31,0,,
429,Kotak Mahindra Bank Ltd.,2017-12-29 00:00:00,1009.1,1904703780,3,2017,50092,49958.1,10532.1,2018-01-23 19:18:07,0,,
430,L I C Housing Finance Ltd.,2017-12-29 00:00:00,563.25,504663000,3,2017,36259.1,31712.6,4751,2018-01-30 18:16:01,0,,
431,Bajaj Finance Ltd.,2017-12-29 00:00:00,1756.8,576517308,3,2017,33458.1,26567.1,6917.6,2018-02-01 00:00:00,0,,
432,Bajaj Finserv Ltd.,2017-12-29 00:00:00,523.84,159135097,3,2017,318.8,238.6,111,2018-02-01 00:00:00,0,,
433,Max Financial Services Ltd.,2017-12-29 00:00:00,591.15,268384027,3,2017,1313,319.8,994.5,2018-02-14 17:16:44,0,,
434,I C I C I Bank Ltd.,2017-12-29 00:00:00,314,6422311826,3,2017,136653.5,151819.8,16502.4,2018-02-16 12:23:34,0,,
435,State Bank Of India,2017-12-29 00:00:00,309.5,8632053793,3,2017,548028.9,700087,-24163.7,2018-02-21 18:01:37,0,,
436,Canara Bank,2017-12-29 00:00:00,360.9,597290159,3,2017,107746.4,122153.4,1257.5,2018-03-17 00:00:00,0,,
437,Bajaj Finserv Ltd.,2018-03-28 00:00:00,517.86,159135097,4,2017,302.9,223.2,105.1,2018-05-17 00:00:00,1,,
438,Bajaj Finance Ltd.,2018-03-28 00:00:00,1769.75,577968388,4,2017,33961.3,26822.2,7427.7,2018-05-17 00:00:00,0,,
439,L I C Housing Finance Ltd.,2018-03-28 00:00:00,535.15,504663000,4,2017,38875.5,32932.1,5943.4,2018-06-21 09:43:00,0,,
440,Max Financial Services Ltd.,2018-03-28 00:00:00,453.65,268384027,4,2017,118.5,265.2,-145.4,2018-06-21 20:40:24,0,,
441,Bank Of Baroda,2018-03-28 00:00:00,142.2,2645516132,4,2017,110392.6,167420.5,-31023.4,2018-07-02 00:00:00,0,,
442,Canara Bank,2018-03-28 00:00:00,264.25,733244775,4,2017,102234.1,188655,-48597.7,2018-07-04 00:00:00,0,,
443,I C I C I Bank Ltd.,2018-03-28 00:00:00,278.4,6427803162,4,2017,142643.6,191449.3,10200,2018-07-10 13:55:27,0,,
444,Bajaj Finserv Ltd.,2018-06-29 00:00:00,581.87,159135097,1,2018,299.5,286.7,60.9,2018-07-19 00:00:00,1,,
445,Bajaj Finance Ltd.,2018-06-29 00:00:00,2296.95,577968388,1,2018,37733.5,29582.2,8337.3,2018-07-19 00:00:00,0,,
446,H D F C Bank Ltd.,2018-03-28 00:00:00,945.73,2595090267,4,2017,213210.8,207503.8,47992.8,2018-07-31 19:35:23,0,,
447,Housing Development Finance Corpn. Ltd.,2018-03-28 00:00:00,1824.4,1675879893,4,2017,93915.4,71402,22566.8,2018-07-31 19:35:23,0,,
448,Bank Of Baroda,2017-12-29 00:00:00,160.5,2304159598,3,2017,113032.4,128645,1117.8,2018-08-02 00:00:00,0,,
449,Kotak Mahindra Bank Ltd.,2018-03-28 00:00:00,1048.6,1905648506,4,2017,53233.7,53509.5,11240.5,2018-08-03 14:27:41,0,,
450,State Bank Of India,2018-03-28 00:00:00,250.1,8924587534,4,2017,559412.8,806489.5,-77181.7,2018-08-03 14:31:07,0,,
451,Canara Bank,2018-06-29 00:00:00,251.6,733244775,1,2018,113595.5,129109.7,2814.9,2018-08-10 00:00:00,0,,
452,Bank Of Baroda,2018-06-29 00:00:00,112.8,2645516132,1,2018,116398.8,122594.5,5282.6,2018-08-10 00:00:00,0,,
453,H D F C Bank Ltd.,2018-06-29 00:00:00,1054.03,2604157867,1,2018,225489.8,217656,46014.4,2018-08-10 14:18:12,0,,
454,Housing Development Finance Corpn. Ltd.,2018-06-29 00:00:00,1907.35,1683633848,1,2018,99238.9,77619.8,21900,2018-08-10 14:18:12,0,,
455,I C I C I Bank Ltd.,2018-06-29 00:00:00,275.5,6431732828,1,2018,147223.6,187353.6,-1195.5,2018-08-10 16:00:42,0,,
456,Kotak Mahindra Bank Ltd.,2018-06-29 00:00:00,1341.8,1906131883,1,2018,54797,56193.5,10249.4,2018-08-10 16:06:18,0,,
457,Max Financial Services Ltd.,2018-06-29 00:00:00,432.8,268415737,1,2018,1289.8,536.9,754.4,2018-08-20 13:49:22,0,,
458,L I C Housing Finance Ltd.,2018-06-29 00:00:00,468.35,504663000,1,2018,40592.6,34913.2,5679.4,2018-08-24 22:17:41,0,,
459,Bajaj Finance Ltd.,2018-09-28 00:00:00,2167.4,577968388,2,2018,40307.4,31407.4,9202.8,2018-10-23 00:00:00,1,,
460,Bajaj Finserv Ltd.,2018-09-28 00:00:00,598.87,159136111,2,2018,3324,482.1,2915.9,2018-10-23 00:00:00,0,,
461,H D F C Bank Ltd.,2018-09-28 00:00:00,1002.83,2717176187,2,2018,241995.6,232094.2,50057.3,2018-10-23 10:44:29,0,,
462,Housing Development Finance Corpn. Ltd.,2018-09-28 00:00:00,1755.5,1696588252,2,2018,112398.8,87898.8,24670.8,2018-10-23 10:44:29,0,,
463,Kotak Mahindra Bank Ltd.,2018-09-28 00:00:00,1143.5,1907004130,2,2018,57981.1,58745.2,11416.5,2018-10-25 13:17:07,0,,
464,Bank Of Baroda,2018-09-28 00:00:00,99.4,2645516132,2,2018,120783.4,130045.7,4253.8,2018-11-02 00:00:00,0,,
465,L I C Housing Finance Ltd.,2018-09-28 00:00:00,416.7,504663000,2,2018,42016.1,36347.2,5731.6,2018-11-09 11:22:43,0,,
466,I C I C I Bank Ltd.,2018-09-28 00:00:00,305,6435132059,2,2018,151056.3,173532.4,9088.8,2018-11-26 16:44:00,0,,
467,Max Financial Services Ltd.,2018-09-28 00:00:00,407.7,268415737,2,2018,77.7,644.6,-563.3,2018-11-27 18:59:00,0,,
468,Canara Bank,2018-09-28 00:00:00,220.85,733244775,2,2018,111237.5,131868.2,2995.4,2018-11-28 00:00:00,0,,
469,State Bank Of India,2018-09-28 00:00:00,265,8924587534,2,2018,587934.8,672236.6,9448.7,2018-11-29 15:48:39,0,,
470,State Bank Of India,2018-06-29 00:00:00,259.3,8924587534,1,2018,588131.8,727478,-48758.5,2018-12-07 17:59:35,0,,
471,Housing Development Finance Corpn. Ltd.,2018-12-31 00:00:00,1970,1719471258,3,2018,105757.3,84693.9,21138,2019-01-21 19:01:15,1,,
472,H D F C Bank Ltd.,2018-12-31 00:00:00,1061.22,2719501383,3,2018,258902.6,252254.2,55858.5,2019-01-21 19:01:15,0,,
473,Kotak Mahindra Bank Ltd.,2018-12-31 00:00:00,1254.75,1907544110,3,2018,62375.1,62106.1,12909.3,2019-01-21 19:20:48,0,,
474,Bajaj Finserv Ltd.,2018-12-31 00:00:00,648.13,159136111,3,2018,288.5,276.7,76.8,2019-01-29 00:00:00,0,,
475,Bajaj Finance Ltd.,2018-12-31 00:00:00,2641.15,577968388,3,2018,46369.7,36418.1,10227.3,2019-01-29 00:00:00,0,,
476,Canara Bank,2018-12-31 00:00:00,275,733244775,3,2018,121885.6,131958.3,3175.2,2019-01-31 00:00:00,0,,
477,I C I C I Bank Ltd.,2018-12-31 00:00:00,360,6440817054,3,2018,162804,185583.4,16049.1,2019-01-31 17:31:50,0,,
478,Bank Of Baroda,2018-12-31 00:00:00,118.85,2645516132,3,2018,129417.1,140916,4712.5,2019-02-01 00:00:00,0,,
479,L I C Housing Finance Ltd.,2018-12-31 00:00:00,488.5,504663000,3,2018,44390,38462.6,5963.1,2019-02-06 14:09:04,0,,
480,State Bank Of India,2018-12-31 00:00:00,295.65,8924587534,3,2018,622766.1,663570.3,39548.1,2019-02-06 19:44:39,0,,
481,Max Financial Services Ltd.,2018-12-31 00:00:00,445.25,268977471,3,2018,1763.6,366.8,1398.9,2019-02-19 12:20:25,0,,
482,Housing Development Finance Corpn. Ltd.,2019-03-29 00:00:00,1967.3,1721437390,4,2018,115420.4,87250,28615.8,2019-04-23 18:11:21,1,,
