,company,qtr_end_date,qtr_end_closing_price,Shares Outstanding,quarter,year,Net sales,Total expenses,PAT,ann_date,early_ann,stck_ann,next_day
483,H D F C Bank Ltd.,2019-03-29 00:00:00,1158.25,2723306610,4,2018,263332.5,253193.4,58851.2,2019-04-23 18:11:21,0,,
484,Kotak Mahindra Bank Ltd.,2019-03-29 00:00:00,1335.75,1908705503,4,2018,63909.1,62647.6,14078,2019-05-07 15:24:27,0,,
485,I C I C I Bank Ltd.,2019-03-29 00:00:00,398.85,6446239653,4,2018,172928,199447.6,9690.6,2019-05-09 15:19:15,0,,
486,Bajaj Finance Ltd.,2019-03-29 00:00:00,3024.85,577968388,4,2018,48789.3,37691.4,11135.9,2019-05-16 00:00:00,0,,
487,Bajaj Finserv Ltd.,2019-03-29 00:00:00,703.55,159136111,4,2018,318.5,368.4,18.1,2019-05-16 00:00:00,0,,
488,Bank Of Baroda,2019-03-29 00:00:00,128.8,2645516132,4,2018,131106.8,168230.9,-9913.7,2019-05-22 00:00:00,0,,
489,Canara Bank,2019-03-29 00:00:00,291.95,753244775,4,2018,121384.8,165504.7,-5515.3,2019-05-23 00:00:00,0,,
490,State Bank Of India,2019-03-29 00:00:00,320.8,8924611534,4,2018,629853.8,752393,8384,2019-05-24 18:38:35,0,,
491,Max Financial Services Ltd.,2019-03-29 00:00:00,434.8,269385779,4,2018,99.7,1200.2,-1096.2,2019-05-29 15:13:07,0,,
492,Bajaj Finserv Ltd.,2019-06-28 00:00:00,853.78,159136111,1,2019,243,310.5,4.9,2019-07-25 00:00:00,1,,
493,Bajaj Finance Ltd.,2019-06-28 00:00:00,3682.3,579894198,1,2019,53020.2,41795.6,11247.3,2019-07-25 00:00:00,0,,
494,Canara Bank,2019-06-28 00:00:00,284.4,753244775,1,2019,122005.2,137333.2,3290.7,2019-08-05 00:00:00,0,,
495,L I C Housing Finance Ltd.,2019-06-28 00:00:00,555.3,504663000,1,2019,48072,41965.3,6106.8,2019-09-04 19:02:26,0,,
496,Bank Of Baroda,2019-06-28 00:00:00,121.85,3846727356,1,2019,189433.3,201510.3,7098.7,2019-09-09 00:00:00,0,,
497,Kotak Mahindra Bank Ltd.,2019-06-28 00:00:00,1476.6,1909336730,1,2019,66277.3,65844.1,13602,2019-09-09 12:26:51,0,,
498,H D F C Bank Ltd.,2019-06-28 00:00:00,1223.2,2732812271,1,2019,273915.9,267936.8,55681.6,2019-09-09 12:31:03,0,,
499,Housing Development Finance Corpn. Ltd.,2019-06-28 00:00:00,2192.05,1725306237,1,2019,130218.8,98380.5,32031,2019-09-09 12:31:03,0,,
500,State Bank Of India,2019-06-28 00:00:00,360.9,8924611534,1,2019,626378.1,683410.3,23122,2019-09-09 14:09:05,0,,
501,Max Financial Services Ltd.,2019-06-28 00:00:00,407.65,269398737,1,2019,1961.3,246.4,1715.6,2019-09-09 19:15:21,0,,
502,I C I C I Bank Ltd.,2019-06-28 00:00:00,437.25,6452596296,1,2019,179800.6,194974.7,19080.3,2019-09-27 19:53:27,0,,
503,Bajaj Finserv Ltd.,2019-09-30 00:00:00,850.93,159137290,2,2019,3813.9,459.9,3450.3,2019-10-22 00:00:00,1,,
504,Bajaj Finance Ltd.,2019-09-30 00:00:00,4050.15,579894198,2,2019,56973.4,44955.7,13766.7,2019-10-22 00:00:00,0,,
505,H D F C Bank Ltd.,2019-09-30 00:00:00,1227.35,5470763894,2,2019,281662.8,274100.1,63449.9,2019-10-25 20:02:52,0,,
506,Housing Development Finance Corpn. Ltd.,2019-09-30 00:00:00,1976.6,1726695111,2,2019,138098,98549.5,39615.3,2019-10-25 20:02:52,0,,
507,L I C Housing Finance Ltd.,2019-09-30 00:00:00,376.75,504663000,2,2019,49762.9,42103.7,7722,2019-10-31 20:29:55,0,,
508,State Bank Of India,2019-09-30 00:00:00,270.9,8924611534,2,2019,643123.9,733233.5,30117.3,2019-10-31 20:32:48,0,,
509,Kotak Mahindra Bank Ltd.,2019-09-30 00:00:00,1644.35,1910028300,2,2019,67616,62615.3,17244.8,2019-11-04 13:06:07,0,,
510,Canara Bank,2019-09-30 00:00:00,182.3,753244775,2,2019,123921.4,140968.1,3649.2,2019-11-20 00:00:00,0,,
511,Max Financial Services Ltd.,2019-09-30 00:00:00,426.9,269398737,2,2019,88.2,359.9,-271.5,2019-12-03 16:27:39,0,,
512,Bank Of Baroda,2019-09-30 00:00:00,93.05,3846727356,2,2019,192707.7,213612.3,7366.8,2019-12-04 00:00:00,0,,
513,I C I C I Bank Ltd.,2019-09-30 00:00:00,433.4,6459674956,2,2019,185653,221045.6,6549.6,2019-12-19 15:16:19,0,,
514,Housing Development Finance Corpn. Ltd.,2019-12-31 00:00:00,2413.45,1729027666,3,2019,202780.7,119189.6,83724.9,2020-01-21 15:05:14,1,,
515,H D F C Bank Ltd.,2019-12-31 00:00:00,1271.8,5477027068,3,2019,293697.2,286225.2,74164.8,2020-01-21 15:05:14,0,,
516,Bajaj Finance Ltd.,2019-12-31 00:00:00,4235.1,601689069,3,2019,63120.8,48283.1,14881.5,2020-01-26 00:00:00,0,,
517,I C I C I Bank Ltd.,2019-12-31 00:00:00,538.75,6469353972,3,2019,190642.8,194918,41464.6,2020-01-27 11:09:00,0,,
518,Bajaj Finserv Ltd.,2019-12-31 00:00:00,938.86,159137290,3,2019,305.9,363.4,31.9,2020-01-29 00:00:00,0,,
519,State Bank Of India,2019-12-31 00:00:00,333.7,8924611534,3,2019,676919.9,712145.5,55833.6,2020-02-06 15:46:16,0,,
520,Max Financial Services Ltd.,2019-12-31 00:00:00,534.7,269509487,3,2019,801.8,185.9,616,2020-02-06 15:49:12,0,,
521,L I C Housing Finance Ltd.,2019-12-31 00:00:00,434.1,504663000,3,2019,49964.6,43989.4,5975.3,2020-02-06 17:46:18,0,,
522,Canara Bank,2019-12-31 00:00:00,221.3,1030233351,3,2019,122948.9,136720.1,3296.2,2020-02-20 00:00:00,0,,
523,Kotak Mahindra Bank Ltd.,2019-12-31 00:00:00,1684.5,1911034957,3,2019,67356,64811.3,15959,2020-02-20 16:10:32,0,,
524,Bank Of Baroda,2019-12-31 00:00:00,101.9,4620566586,3,2019,190711.1,240060.3,-14069.6,2020-03-05 00:00:00,0,,
525,H D F C Bank Ltd.,2020-03-31 00:00:00,862,5483286460,4,2019,298850.6,289899.4,69276.9,2020-04-20 12:12:40,1,,
526,Housing Development Finance Corpn. Ltd.,2020-03-31 00:00:00,1630.45,1732051189,4,2019,119614.1,97491.3,22325.3,2020-04-20 12:12:40,0,,
527,I C I C I Bank Ltd.,2020-03-31 00:00:00,324.5,6472765203,4,2019,191886.8,222223,12213.6,2020-05-11 18:37:13,0,,
528,Bajaj Finance Ltd.,2020-03-31 00:00:00,2216.05,601689069,4,2019,65110.9,56235.9,8915.7,2020-05-19 00:00:00,0,,
529,Max Financial Services Ltd.,2020-03-31 00:00:00,385.4,269509487,4,2019,2298,1632.7,665.3,2020-06-03 11:16:53,0,,
530,Kotak Mahindra Bank Ltd.,2020-03-31 00:00:00,1296.35,1913038338,4,2019,68046.8,70274.7,12666,2020-06-09 18:39:37,0,,
531,State Bank Of India,2020-03-31 00:00:00,196.95,8924611534,4,2019,626814,751780.4,35808.1,2020-06-11 12:48:10,0,,
532,Canara Bank,2020-03-31 00:00:00,90.4,1030233351,4,2019,120474.4,175569,-32593.3,2020-07-16 00:00:00,0,,
533,Bank Of Baroda,2020-03-31 00:00:00,53.55,4620566586,4,2019,186984.4,232563.6,5065.9,2020-07-16 00:00:00,0,,
534,L I C Housing Finance Ltd.,2020-03-31 00:00:00,235.2,504663000,4,2019,49201.7,44987.4,4214.3,2020-07-16 15:01:50,0,,
535,Bajaj Finserv Ltd.,2020-06-30 00:00:00,584.03,159137290,1,2020,276.3,369,10.4,2020-07-21 00:00:00,1,,
536,Bajaj Finance Ltd.,2020-06-30 00:00:00,2828.9,601739069,1,2020,59006.3,50322.3,8695,2020-07-21 00:00:00,0,,
537,H D F C Bank Ltd.,2020-06-30 00:00:00,1065.7,5490278560,1,2020,303779.7,277946.6,66586.2,2020-07-29 02:14:30,0,,
538,Housing Development Finance Corpn. Ltd.,2020-06-30 00:00:00,1754.65,1734608807,1,2020,130176.8,99677.7,30515.2,2020-07-29 02:14:30,0,,
539,Canara Bank,2020-06-30 00:00:00,100.6,1453501506,1,2020,180358.1,202796.7,4062.4,2020-09-17 00:00:00,0,,
540,L I C Housing Finance Ltd.,2020-06-30 00:00:00,264.95,504663000,1,2020,50037.1,41862.3,8174.8,2020-09-18 14:59:27,0,,
541,Max Financial Services Ltd.,2020-06-30 00:00:00,541.55,269574504,1,2020,92.4,315.7,-218.9,2020-09-29 18:49:52,0,,
542,Kotak Mahindra Bank Ltd.,2020-06-30 00:00:00,1359.8,1978804377,1,2020,69118.6,64420,12444.5,2020-10-01 00:25:55,0,,
543,Bank Of Baroda,2020-06-30 00:00:00,48.6,4620566586,1,2020,184941.6,216202,-8642.6,2020-10-16 00:00:00,0,,
544,I C I C I Bank Ltd.,2020-06-30 00:00:00,351.45,6475980400,1,2020,199243.5,234678,25991.5,2020-10-16 14:11:35,0,,
545,State Bank Of India,2020-06-30 00:00:00,178.4,8924611534,1,2020,665003.8,718082.5,41893.4,2020-10-16 14:13:43,0,,
546,Bajaj Finance Ltd.,2020-09-30 00:00:00,3277.25,602587339,2,2020,57799.4,49100.1,8765.8,2020-10-21 00:00:00,1,,
547,Bank Of Baroda,2020-09-30 00:00:00,41.05,4620566586,2,2020,178196.7,190507.1,16786,2020-11-05 00:00:00,0,,
548,H D F C Bank Ltd.,2020-09-30 00:00:00,1079.2,5503704156,2,2020,299769.7,285563.1,75131.1,2020-11-05 18:06:42,0,,
549,Housing Development Finance Corpn. Ltd.,2020-09-30 00:00:00,1739.3,1795805932,2,2020,117285.7,88631.9,28701.2,2020-11-05 18:06:42,0,,
550,I C I C I Bank Ltd.,2020-09-30 00:00:00,354.9,6896223149,2,2020,196224.6,193994.4,42513.3,2020-11-05 21:08:51,0,,
551,Canara Bank,2020-09-30 00:00:00,88.9,1453501506,2,2020,176904.7,203495.1,4444.1,2020-11-06 00:00:00,0,,
552,Kotak Mahindra Bank Ltd.,2020-09-30 00:00:00,1268.15,1979207809,2,2020,68202.9,60682.3,21844.8,2020-11-09 15:10:02,0,,
553,Max Financial Services Ltd.,2020-09-30 00:00:00,612.35,269574504,2,2020,536.8,160.3,378.8,2020-11-09 15:16:33,0,,
554,State Bank Of India,2020-09-30 00:00:00,185.4,8924611534,2,2020,668141.1,707676.4,45741.6,2020-11-20 23:12:27,0,,
555,L I C Housing Finance Ltd.,2020-09-30 00:00:00,275.7,504663000,2,2020,49690.3,41909.4,7909,2020-12-04 14:33:51,0,,
556,Housing Development Finance Corpn. Ltd.,2020-12-31 00:00:00,2558.6,1800195902,3,2020,117070,87905.1,29258.3,2021-01-18 12:35:15,1,,
557,H D F C Bank Ltd.,2020-12-31 00:00:00,1436.75,5507656932,3,2020,300797,287646.3,87582.9,2021-01-18 12:35:15,0,,
558,Bajaj Finance Ltd.,2020-12-31 00:00:00,5296,602587339,3,2020,58454.1,47990.9,10485.8,2021-01-20 00:00:00,0,,
559,Bajaj Finserv Ltd.,2020-12-31 00:00:00,890.45,159137444,3,2020,197.3,382.7,84,2021-01-20 00:00:00,0,,
560,Kotak Mahindra Bank Ltd.,2020-12-31 00:00:00,1995.4,1980478721,3,2020,66592.7,61325.5,18535.4,2021-01-25 17:10:42,0,,
561,Canara Bank,2020-12-31 00:00:00,128.95,1646738220,3,2020,172119.4,206693.3,6960.6,2021-01-27 00:00:00,0,,
562,Bank Of Baroda,2020-12-31 00:00:00,61.5,4620566586,3,2020,174967.1,193463.4,10611.1,2021-01-27 00:00:00,0,,
563,L I C Housing Finance Ltd.,2020-12-31 00:00:00,361.2,504663000,3,2020,49067.2,41969.5,7270.4,2021-01-29 16:06:48,0,,
564,I C I C I Bank Ltd.,2020-12-31 00:00:00,534.8,6903693527,3,2020,197297.9,194764.7,49395.9,2021-01-30 16:35:29,0,,
565,State Bank Of India,2020-12-31 00:00:00,274.75,8924611534,3,2020,667345,707844.3,51962.2,2021-02-04 18:30:47,0,,
566,Max Financial Services Ltd.,2020-12-31 00:00:00,673.35,345032592,3,2020,193.1,120.8,76.4,2021-02-09 13:59:21,0,,
567,H D F C Bank Ltd.,2021-03-31 00:00:00,1493.55,5512776482,4,2020,304235.9,298309.9,81865.1,2021-04-19 18:50:32,1,,
568,Housing Development Finance Corpn. Ltd.,2021-03-31 00:00:00,2498.95,1803946433,4,2020,116993,85299,31798.3,2021-04-19 18:50:32,0,,
569,I C I C I Bank Ltd.,2021-03-31 00:00:00,581.25,6915992387,4,2020,198416.7,195504.1,44026.1,2021-04-24 22:13:08,0,,
570,Bajaj Finance Ltd.,2021-03-31 00:00:00,5148.9,602587339,4,2020,60061.8,48494.9,11608.5,2021-04-27 00:00:00,0,,
571,Bajaj Finserv Ltd.,2021-03-31 00:00:00,966.78,159137444,4,2020,2507,990.9,1687,2021-04-28 00:00:00,0,,
572,Kotak Mahindra Bank Ltd.,2021-03-31 00:00:00,1754,1981835668,4,2020,64488.6,62821.2,16823.7,2021-05-03 18:53:04,0,,
573,Canara Bank,2021-03-31 00:00:00,152.25,1646738220,4,2020,163374.3,200297.6,10108.7,2021-05-18 00:00:00,0,,
574,State Bank Of India,2021-03-31 00:00:00,364.35,8924611534,4,2020,651016.4,748762.1,64507.5,2021-05-26 10:59:58,0,,
575,Bank Of Baroda,2021-03-31 00:00:00,74.15,5171362179,4,2020,166845.2,225484.4,-10465,2021-05-31 00:00:00,0,,
576,Max Financial Services Ltd.,2021-03-31 00:00:00,859.35,345090302,4,2020,2431.1,1678.6,756,2021-06-08 17:09:07,0,,
577,L I C Housing Finance Ltd.,2021-03-31 00:00:00,428.1,504663000,4,2020,49676.9,46156.9,3989.2,2021-06-15 18:51:48,0,,
578,Housing Development Finance Corpn. Ltd.,2021-06-30 00:00:00,2474.25,1805753249,1,2021,116574.7,86624.7,30006.7,2021-07-19 11:45:38,1,,
579,H D F C Bank Ltd.,2021-06-30 00:00:00,1498.05,5526719098,1,2021,304829.7,290418.3,77296.4,2021-07-19 11:45:38,0,,
580,Bajaj Finserv Ltd.,2021-06-30 00:00:00,1211.66,159137444,1,2021,228.9,404.5,3.7,2021-07-21 00:00:00,0,,
581,I C I C I Bank Ltd.,2021-06-30 00:00:00,630.85,6925037357,1,2021,203834.1,197632.5,46160.2,2021-07-24 18:44:58,0,,
582,Bajaj Finance Ltd.,2021-06-30 00:00:00,6016.15,603594345,1,2021,59161.4,50742.8,8429.2,2021-07-26 00:00:00,0,,
583,Kotak Mahindra Bank Ltd.,2021-06-30 00:00:00,1706.4,1982675781,1,2021,64797.8,62114.8,16419.2,2021-07-26 16:37:19,0,,
584,Canara Bank,2021-06-30 00:00:00,151.85,1646738220,1,2021,167843.7,197628.1,11774.7,2021-07-27 00:00:00,0,,
585,L I C Housing Finance Ltd.,2021-06-30 00:00:00,469.95,504663000,1,2021,48571.1,47056,1534.4,2021-07-29 17:53:33,0,,
586,State Bank Of India,2021-06-30 00:00:00,419.25,8924611534,1,2021,655644.3,708631.7,65040,2021-08-05 01:35:57,0,,
587,Bank Of Baroda,2021-06-30 00:00:00,85.95,5171362179,1,2021,170526.4,187072,12086.3,2021-08-07 00:00:00,0,,
588,Max Financial Services Ltd.,2021-06-30 00:00:00,1061.35,345106768,1,2021,1574.9,607.3,975.2,2021-08-10 14:46:50,0,,
589,Housing Development Finance Corpn. Ltd.,2021-09-30 00:00:00,2754.6,1808209833,2,2021,122174,84473.4,37805,2021-10-18 17:48:07,1,,
590,H D F C Bank Ltd.,2021-09-30 00:00:00,1595.5,5537451890,2,2021,313533.7,299198.5,88343.1,2021-10-18 17:48:07,0,,
591,L I C Housing Finance Ltd.,2021-09-30 00:00:00,427.1,550063000,2,2021,47080.1,44671.4,2478.6,2021-10-22 16:39:41,0,,
592,I C I C I Bank Ltd.,2021-09-30 00:00:00,700.8,6934409997,2,2021,212336.4,205198.7,55109.5,2021-10-23 17:16:07,0,,
593,Canara Bank,2021-09-30 00:00:00,173,1814130252,2,2021,170636.9,199988.8,13326.1,2021-10-26 00:00:00,0,,
594,Bajaj Finance Ltd.,2021-09-30 00:00:00,7670.7,603594345,2,2021,68110.3,55058.1,13057.7,2021-10-26 00:00:00,0,,
595,Kotak Mahindra Bank Ltd.,2021-09-30 00:00:00,2004.1,1983087703,2,2021,65962.8,63768.6,20320.1,2021-10-26 21:03:17,0,,
596,Bajaj Finserv Ltd.,2021-09-30 00:00:00,1778.85,159137444,2,2021,3490.8,1289.1,2384.9,2021-10-28 00:00:00,0,,
597,State Bank Of India,2021-09-30 00:00:00,453.05,8924611534,2,2021,694814.9,700625.2,76265.7,2021-11-04 03:02:10,0,,
598,Max Financial Services Ltd.,2021-09-30 00:00:00,1010.85,345114771,2,2021,142.9,123.9,35.3,2021-11-09 19:07:57,0,,
599,Bank Of Baroda,2021-09-30 00:00:00,81.75,5171362179,2,2021,166915.3,181828.9,20878.5,2021-11-10 00:00:00,0,,
600,Bajaj Finance Ltd.,2021-12-31 00:00:00,6976.9,603594345,3,2021,75271.8,55958.1,19338.5,2022-01-18 00:00:00,1,,
601,Bajaj Finserv Ltd.,2021-12-31 00:00:00,1639.02,159137444,3,2021,2220.3,1031.3,1685,2022-01-20 00:00:00,0,,
602,I C I C I Bank Ltd.,2021-12-31 00:00:00,740.25,6943351843,3,2021,220826,208758.6,61938.1,2022-01-22 18:05:03,0,,
603,Canara Bank,2021-12-31 00:00:00,199.9,1814130252,3,2021,177006,198101.5,15021.2,2022-01-27 00:00:00,0,,
604,L I C Housing Finance Ltd.,2021-12-31 00:00:00,369.55,550063000,3,2021,50542.9,43030.6,7673.3,2022-01-27 19:36:21,0,,
605,Kotak Mahindra Bank Ltd.,2021-12-31 00:00:00,1796.3,1983899969,3,2021,68968.2,64764,21313.6,2022-01-28 18:10:06,0,,
606,Max Financial Services Ltd.,2021-12-31 00:00:00,978.2,345114771,3,2021,132.6,123.7,24.7,2022-01-28 18:26:51,0,,
607,Bank Of Baroda,2021-12-31 00:00:00,81.95,5171362179,3,2021,179630,182852.3,21970.3,2022-02-05 00:00:00,0,,
608,State Bank Of India,2021-12-31 00:00:00,460.45,8924611534,3,2021,696781.2,699196.6,84318.8,2022-02-05 21:13:17,0,,
609,Housing Development Finance Corpn. Ltd.,2022-03-31 00:00:00,2388.65,1813028276,4,2021,123009.6,86091.1,37003.2,2022-04-18 14:30:39,1,,
610,H D F C Bank Ltd.,2022-03-31 00:00:00,1469.95,5545540976,4,2021,334487.2,310306,100551.8,2022-04-18 14:30:39,0,,
611,I C I C I Bank Ltd.,2022-03-31 00:00:00,730.25,6948771375,4,2021,226749,203936.1,70187.1,2022-04-23 18:22:18,0,,
612,Bajaj Finance Ltd.,2022-03-31 00:00:00,7259.1,605429233,4,2021,76162.2,53513.2,22679.5,2022-04-26 00:00:00,0,,
613,Housing Development Finance Corpn. Ltd.,2021-12-31 00:00:00,2586.85,1811011813,3,2021,117836.6,85315.2,32606.9,2022-04-26 16:16:16,0,,
614,H D F C Bank Ltd.,2021-12-31 00:00:00,1479.8,5542399476,3,2021,324680.5,303094,103422,2022-04-26 16:16:16,0,,
615,Bajaj Finserv Ltd.,2022-03-31 00:00:00,1705.22,159137444,4,2021,298.3,322.8,168.7,2022-04-28 00:00:00,0,,
616,Kotak Mahindra Bank Ltd.,2022-03-31 00:00:00,1754.7,1984661760,4,2021,70659.4,64955.6,27674,2022-05-04 22:28:05,0,,
617,Canara Bank,2022-03-31 00:00:00,227.6,1814130252,4,2021,178615.9,206568.9,16662.2,2022-05-06 00:00:00,0,,
618,Max Financial Services Ltd.,2022-03-31 00:00:00,753.9,345114771,4,2021,146.6,162.3,-9,2022-05-10 19:26:33,0,,
619,Bank Of Baroda,2022-03-31 00:00:00,111.6,5171362179,4,2021,181736.1,189171.3,17787.7,2022-05-13 00:00:00,0,,
620,State Bank Of India,2022-03-31 00:00:00,493.4,8924611534,4,2021,707332.5,734998.7,91135.3,2022-05-14 12:48:10,0,,
621,L I C Housing Finance Ltd.,2022-03-31 00:00:00,359.5,550063000,4,2021,52996.6,41899.5,11186.4,2022-05-19 11:57:13,0,,
